primitive_id,region_id,food_x,food_y,drag_length,score,max_pos_error,max_tilt_error,preview_max_tilt,min_sigma,max_condition,max_contact,head_drop_pre,head_drop_engage,head_drop_drag_start,head_drop_drag_end,min_head_drop,max_head_drop_error
R05_00306,5,0.0728,0.20720000000000002,0.05,14.98503449725137,0.017873655743610276,0.6150615158842013,0.6150615158842013,0.04965945502464208,9.168123026414243,0,0.07482410374375334,0.07886749373690977,0.07692815206745329,0.04296908648272725,0.04296908648272725,0.0
R05_00167,5,0.0546,0.18293333333333336,0.05,14.985549923649051,0.01758449177152356,0.6109950948520737,0.6109950948520737,0.04938554718761147,9.25209496798941,0,0.07497024058810292,0.07889026143901616,0.07695282554457618,0.04299282575373606,0.04299282575373606,0.0
R05_00219,5,0.0546,0.2314666666666667,0.07,14.987181699889273,0.01797543986047437,0.6125911592703345,0.6125911592703345,0.04415460254588973,11.998576880072223,0,0.07467266837206113,0.07892938691323681,0.07700301190898623,0.03698658356296683,0.03698658356296683,0.0
R05_00134,5,0.0546,0.15866666666666668,0.035,14.98953539728231,0.01753849463458755,0.611795621245747,0.611795621245747,0.059165127077567305,7.931528997976777,0,0.0749783347106256,0.07889756863368896,0.07696242430416318,0.05033076211839907,0.05033076211839907,0.0
R05_00109,5,0.0364,0.2314666666666667,0.07,14.99103829281324,0.017832798449745467,0.5874657779482338,0.5874657779482338,0.04891955167417977,10.22997760481451,0,0.061868920635154645,0.07667281259002436,0.07475549961072804,0.03603864792286568,0.03603864792286568,0.008131079364845362
R05_00390,5,0.091,0.15866666666666668,0.05,14.99114109609301,0.017622961044967245,0.6092673871329191,0.6092673871329191,0.05277316965620808,8.116707490768048,0,0.07459352271479264,0.07881679143304152,0.07687616766636869,0.0429285422089741,0.0429285422089741,0.0
R05_00067,5,0.0364,0.18293333333333336,0.05,14.995666522069476,0.01759525519695712,0.6112438348811715,0.6112438348811715,0.049939828208231944,9.410520087475613,0,0.0749743916424177,0.07889014337117341,0.0769540163727662,0.04299816870298748,0.04299816870298748,0.0
R05_00070,5,0.0364,0.20720000000000002,0.035,14.996007303188378,0.017694981078087653,0.6144767427692358,0.6144767427692358,0.05286983559756903,9.260478201027007,0,0.07499725790688852,0.07889478582846514,0.07696873449941552,0.0503761196159484,0.0503761196159484,0.0
R05_00220,5,0.0546,0.2314666666666667,0.07,14.997629027153598,0.017905622453739025,0.6019258437154338,0.6019258437154338,0.04831260806681734,10.531899524141734,0,0.07054426601569744,0.07808992369905288,0.07616052842133478,0.03666414491194172,0.03666414491194172,0.0
R05_00194,5,0.0546,0.20720000000000002,0.07,15.002020023313,0.01781140644586674,0.5982478928462376,0.5982478928462376,0.05105756096182435,9.80581228956225,0,0.06823764418226455,0.07774362506850264,0.07581478447293316,0.03652477549069171,0.03652477549069171,0.001762355817735456
R05_00337,5,0.0728,0.2314666666666667,0.05,15.006457882426188,0.017573920493145188,0.6197134496778393,0.6197134496778393,0.041363397903161916,12.979059141829374,0,0.07481145803189046,0.07853912736756032,0.0766345656515368,0.041699774231612224,0.041699774231612224,0.0
R05_00240,5,0.0546,0.25573333333333337,0.05,15.010160641028639,0.01794401079917605,0.610243626801735,0.610243626801735,0.009845898222984416,59.7561653038391,0,0.07498064706996285,0.07890910860191928,0.07759970528129341,0.0509729037287132,0.0509729037287132,0.0
R05_00052,5,0.0364,0.18293333333333336,0.035,15.011743986611748,0.01761861939069215,0.6141091627221251,0.6141091627221251,0.05440151764833043,8.889810229257769,0,0.07498970981058004,0.07889599226814308,0.07696841731281762,0.05037289525748288,0.05037289525748288,0.0
R05_00261,5,0.0728,0.15866666666666668,0.05,15.01201742059509,0.01756680907948326,0.6096532852066084,0.6096532852066084,0.053990947689609596,7.912094791533586,0,0.07485712839369124,0.07887582860889082,0.07693436350684221,0.042960695681902444,0.042960695681902444,0.0
R05_00110,5,0.0364,0.2314666666666667,0.07,15.017104713168969,0.017830829710086954,0.610034334918654,0.610034334918654,0.03938215529794735,12.422401858288026,0,0.0749467265164716,0.07887604447317534,0.076940923244397,0.036979617909451715,0.036979617909451715,0.0
R05_00146,5,0.0546,0.15866666666666668,0.05,15.017730475944019,0.01757525841388149,0.6098520372945642,0.6098520372945642,0.05491020618599638,8.025101984029298,0,0.07497053476922866,0.0789020219848121,0.07696032555529116,0.04297909811837254,0.04297909811837254,0.0
R05_00065,5,0.0364,0.18293333333333336,0.05,15.01851147534879,0.017567994468255056,0.6099276666459352,0.6099276666459352,0.05741545768695046,8.009262845324523,0,0.07484331442619743,0.07887719833655281,0.07693628745113504,0.042972390076832234,0.042972390076832234,0.0
R05_00377,5,0.0728,0.25573333333333337,0.07,15.01864252557175,0.017956007512557964,0.6357025203100957,0.6357025203100957,0.035012956219820354,15.799128690604562,0,0.07209632299031038,0.07838753503319289,0.07653396641290733,0.037456519389479914,0.037456519389479914,0.0
R05_00049,5,0.0364,0.15866666666666668,0.05,15.01935720722285,0.01763777989566347,0.6097775999445145,0.6097775999445145,0.0554959881145484,8.294413909874015,0,0.07494112798212704,0.07889521519399219,0.07695385041630888,0.04298098933537413,0.04298098933537413,0.0
R05_00083,5,0.0364,0.20720000000000002,0.05,15.023862435669468,0.017608714434091892,0.6114985823702521,0.6114985823702521,0.05050812903981911,9.695970134772576,0,0.07497679338443078,0.0788899505472152,0.07695539329234741,0.04300237649970409,0.04300237649970409,0.0
R05_00187,5,0.0546,0.20720000000000002,0.05,15.02543308500074,0.017589687067456547,0.6114985852206398,0.6114985852206398,0.05053118535887495,9.214216022445958,0,0.07497300584813521,0.07889047213561308,0.0769547824953856,0.043003566464437926,0.043003566464437926,0.0
R05_00450,5,0.091,0.20720000000000002,0.07,15.026446409936575,0.017826638541936515,0.6105736374117335,0.6105736374117335,0.04007509067117308,11.757791153999666,0,0.0749938201304132,0.0788911610100482,0.07695437206566526,0.037016338118045874,0.037016338118045874,0.0
R05_00296,5,0.0728,0.18293333333333336,0.07,15.027582445484192,0.017830465339745125,0.6102175955452775,0.6102175955452775,0.03764745977780162,12.451217074509408,0,0.07493677426549289,0.07887428337658658,0.0769385895570166,0.03699815668103681,0.03699815668103681,0.0
R05_00139,5,0.0546,0.15866666666666668,0.035,15.027809757117387,0.017573808593923605,0.612517871595058,0.612517871595058,0.05759421271829998,7.768283069363664,0,0.07489239994868213,0.07887125039872701,0.07693860954290968,0.05032223771543927,0.05032223771543927,0.0
R05_00320,5,0.0728,0.20720000000000002,0.07,15.030054647150028,0.01789915758667711,0.6134175553742844,0.6134175553742844,0.03614137625600018,13.366934948833743,0,0.07577260354329246,0.07915350986985825,0.07722194182265554,0.037081696947874006,0.037081696947874006,0.0
R05_00241,5,0.0546,0.25573333333333337,0.07,15.032777618502982,0.017974760959738278,0.6135489506369957,0.6135489506369957,0.03609849825273617,13.650468738671277,0,0.07499497530673627,0.0791398339070585,0.07721151846481726,0.03703752946752168,0.03703752946752168,0.0
R05_00164,5,0.0546,0.18293333333333336,0.05,15.035112903756911,0.017571236883543333,0.6105045043461835,0.6105045043461835,0.05342671212759817,8.822720010111672,0,0.07453199136210673,0.07879348606033278,0.07685836542357878,0.042952115448968445,0.042952115448968445,0.0
R05_00260,5,0.0728,0.15866666666666668,0.05,15.038845733154398,0.017583970684680796,0.611441804221885,0.611441804221885,0.050783368683850395,8.880077395376412,0,0.07497488310041456,0.07889154798128209,0.07695514444513868,0.04300137565098454,0.04300137565098454,0.0
R05_00319,5,0.0728,0.20720000000000002,0.07,15.044935131244682,0.017824025520420058,0.6092122305314532,0.6092122305314532,0.039111267513981335,12.098063031157126,0,0.0745361004783914,0.07878532993301317,0.07684865389989985,0.03696580743687551,0.03696580743687551,0.0
R05_00142,5,0.0546,0.15866666666666668,0.05,15.045681601344938,0.017570874562602257,0.6098912990294184,0.6098912990294184,0.05802177585872997,8.188547145677513,0,0.07498538041585842,0.07890643366701441,0.07696509459230207,0.04299132923581646,0.04299132923581646,0.0
R05_00256,5,0.0728,0.15866666666666668,0.05,15.047475820158386,0.01757743513018332,0.6100672934743333,0.6100672934743333,0.05782409708599731,7.828248999624419,0,0.07499536866735773,0.07891029572266628,0.0769687542838876,0.042987736517206776,0.042987736517206776,0.0
R05_00452,5,0.091,0.20720000000000002,0.07,15.048077894561,0.01783110584619442,0.6100190985995928,0.6100190985995928,0.03837334285655913,12.124967969532516,0,0.0749506726428012,0.07887906314486841,0.07694162711705445,0.03700617951036209,0.03700617951036209,0.0
R05_00019,5,0.0182,0.20720000000000002,0.05,15.048572041673005,0.017611178305925887,0.611735637532463,0.611735637532463,0.0509821235506608,9.692912097152929,0,0.07497690824311087,0.07889005409704215,0.07695629831313368,0.04300735959736679,0.04300735959736679,0.0
R05_00317,5,0.0728,0.20720000000000002,0.07,15.052875308645893,0.01783203591959178,0.6097605933280968,0.6097605933280968,0.04078623934238996,11.842543261641929,0,0.07496390113833368,0.0788820910334755,0.07694436639095312,0.03700066539236807,0.03700066539236807,0.0
R05_00269,5,0.0728,0.15866666666666668,0.07,15.058948679501869,0.017799964657173508,0.6040396928380792,0.6040396928380792,0.05653148818430139,8.267802587227086,0,0.07158815106356586,0.07831693148539261,0.07638086696272534,0.037674149853420755,0.037674149853420755,0.0
R05_00044,5,0.0364,0.15866666666666668,0.035,15.060497103927379,0.01762027832310246,0.614131885060985,0.614131885060985,0.05792954235056743,8.105775328256927,0,0.0748843195362183,0.0788692816542929,0.07694137266034215,0.05035223198043068,0.05035223198043068,0.0
R05_00047,5,0.0364,0.15866666666666668,0.05,15.067804434524332,0.01757267132361339,0.6096267922579452,0.6096267922579452,0.057825714598363005,8.224907704868842,0,0.07479135444551624,0.0788609115165908,0.07692073308009462,0.04297086543021987,0.04297086543021987,0.0
R05_00010,5,0.0182,0.18293333333333336,0.05,15.072704986987066,0.017591940826675152,0.6104534890865017,0.6104534890865017,0.056107369173802595,8.581312102314765,0,0.07499089333079809,0.07890388140194489,0.07696472269373184,0.043002385274699156,0.043002385274699156,0.0
R05_00321,5,0.0728,0.20720000000000002,0.07,15.073468834012917,0.017831965637135395,0.6097783108314856,0.6097783108314856,0.04004945327152379,11.609989987218858,0,0.074967776369957,0.07888498507410208,0.07694569519565082,0.0370150955616546,0.0370150955616546,0.0
